,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:51:00,12/31/09 16:51:00,14.0
1,01/01/10 00:53:00,12/31/09 16:53:00,13.9
2,01/01/10 01:53:00,12/31/09 17:53:00,14.4
3,01/01/10 02:53:00,12/31/09 18:53:00,13.3
4,01/01/10 03:53:00,12/31/09 19:53:00,13.3
5,01/01/10 04:53:00,12/31/09 20:53:00,12.8
6,01/01/10 05:53:00,12/31/09 21:53:00,12.8
7,01/01/10 06:53:00,12/31/09 22:53:00,13.3
8,01/01/10 07:53:00,12/31/09 23:53:00,12.8
9,01/01/10 07:57:00,12/31/09 23:57:00,13.0
10,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
11,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
12,01/01/10 08:22:00,01/01/10 00:22:00,13.0
13,01/01/10 08:46:00,01/01/10 00:46:00,13.0
14,01/01/10 08:53:00,01/01/10 00:53:00,12.8
15,01/01/10 09:02:00,01/01/10 01:02:00,13.0
16,01/01/10 09:05:00,01/01/10 01:05:00,13.0
17,01/01/10 09:47:00,01/01/10 01:47:00,12.0
18,01/01/10 09:53:00,01/01/10 01:53:00,12.2
19,01/01/10 10:03:00,01/01/10 02:03:00,12.0
20,01/01/10 10:49:00,01/01/10 02:49:00,13.0
21,01/01/10 10:53:00,01/01/10 02:53:00,12.8
22,01/01/10 11:18:00,01/01/10 03:18:00,13.0
23,01/01/10 11:26:00,01/01/10 03:26:00,13.0
24,01/01/10 11:53:00,01/01/10 03:53:00,13.3
25,01/01/10 12:10:00,01/01/10 04:10:00,13.0
26,01/01/10 12:14:00,01/01/10 04:14:00,13.0
27,01/01/10 12:28:00,01/01/10 04:28:00,13.0
28,01/01/10 12:39:00,01/01/10 04:39:00,13.0
29,01/01/10 12:51:00,01/01/10 04:51:00,13.0
30,01/01/10 12:53:00,01/01/10 04:53:00,13.3
31,01/01/10 13:16:00,01/01/10 05:16:00,13.0
32,01/01/10 13:26:00,01/01/10 05:26:00,13.0
33,01/01/10 13:53:00,01/01/10 05:53:00,13.3
34,01/01/10 14:12:00,01/01/10 06:12:00,13.0
35,01/01/10 14:31:00,01/01/10 06:31:00,13.0
36,01/01/10 14:35:00,01/01/10 06:35:00,13.0
37,01/01/10 14:49:00,01/01/10 06:49:00,13.0
38,01/01/10 14:53:00,01/01/10 06:53:00,13.3
39,01/01/10 15:07:00,01/01/10 07:07:00,12.0
40,01/01/10 15:16:00,01/01/10 07:16:00,12.0
41,01/01/10 15:25:00,01/01/10 07:25:00,12.0
42,01/01/10 15:33:00,01/01/10 07:33:00,12.0
43,01/01/10 15:51:00,01/01/10 07:51:00,12.0
44,01/01/10 15:53:00,01/01/10 07:53:00,11.7
45,01/01/10 16:53:00,01/01/10 08:53:00,11.7
46,01/01/10 16:59:00,01/01/10 08:59:00,12.0
47,01/01/10 17:07:00,01/01/10 09:07:00,12.0
48,01/01/10 17:53:00,01/01/10 09:53:00,12.2
49,01/01/10 18:53:00,01/01/10 10:53:00,13.3
50,01/01/10 19:53:00,01/01/10 11:53:00,13.3
51,01/01/10 20:01:00,01/01/10 12:01:00,13.0
52,01/01/10 20:36:00,01/01/10 12:36:00,14.0
53,01/01/10 20:53:00,01/01/10 12:53:00,13.9
54,01/01/10 21:03:00,01/01/10 13:03:00,14.0
55,01/01/10 21:13:00,01/01/10 13:13:00,14.0
56,01/01/10 21:53:00,01/01/10 13:53:00,13.9
57,01/01/10 22:53:00,01/01/10 14:53:00,13.3
58,01/01/10 23:09:00,01/01/10 15:09:00,12.0
59,01/01/10 23:36:00,01/01/10 15:36:00,13.0
60,01/01/10 23:53:00,01/01/10 15:53:00,12.8
61,01/02/10 00:39:00,01/01/10 16:39:00,12.0
62,01/02/10 00:53:00,01/01/10 16:53:00,12.2
63,01/02/10 01:07:00,01/01/10 17:07:00,12.0
64,01/02/10 01:17:00,01/01/10 17:17:00,12.0
65,01/02/10 01:25:00,01/01/10 17:25:00,12.0
66,01/02/10 01:53:00,01/01/10 17:53:00,11.1
67,01/02/10 02:24:00,01/01/10 18:24:00,11.0
68,01/02/10 02:49:00,01/01/10 18:49:00,11.0
69,01/02/10 02:53:00,01/01/10 18:53:00,11.1
70,01/02/10 03:10:00,01/01/10 19:10:00,11.0
71,01/02/10 03:53:00,01/01/10 19:53:00,11.1
72,01/02/10 04:53:00,01/01/10 20:53:00,9.4
73,01/02/10 05:53:00,01/01/10 21:53:00,9.4
74,01/02/10 06:53:00,01/01/10 22:53:00,8.9
75,01/02/10 07:53:00,01/01/10 23:53:00,8.9
76,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
77,01/02/10 08:53:00,01/02/10 00:53:00,8.3
78,01/02/10 09:53:00,01/02/10 01:53:00,8.3
79,01/02/10 10:53:00,01/02/10 02:53:00,7.8
80,01/02/10 11:53:00,01/02/10 03:53:00,7.8
81,01/02/10 12:53:00,01/02/10 04:53:00,7.2
82,01/02/10 13:53:00,01/02/10 05:53:00,7.8
83,01/02/10 14:53:00,01/02/10 06:53:00,6.7
84,01/02/10 15:53:00,01/02/10 07:53:00,5.6
85,01/02/10 16:53:00,01/02/10 08:53:00,6.7
86,01/02/10 17:53:00,01/02/10 09:53:00,8.3
87,01/02/10 18:53:00,01/02/10 10:53:00,10.6
88,01/02/10 19:53:00,01/02/10 11:53:00,12.2
89,01/02/10 20:53:00,01/02/10 12:53:00,13.3
90,01/02/10 21:29:00,01/02/10 13:29:00,13.0
91,01/02/10 21:33:00,01/02/10 13:33:00,13.0
92,01/02/10 21:53:00,01/02/10 13:53:00,12.2
93,01/02/10 22:08:00,01/02/10 14:08:00,13.0
94,01/02/10 22:20:00,01/02/10 14:20:00,13.0
95,01/02/10 22:30:00,01/02/10 14:30:00,13.0
96,01/02/10 22:40:00,01/02/10 14:40:00,12.0
97,01/02/10 22:53:00,01/02/10 14:53:00,12.2
98,01/02/10 23:40:00,01/02/10 15:40:00,12.0
99,01/02/10 23:53:00,01/02/10 15:53:00,12.2
100,01/03/10 00:53:00,01/02/10 16:53:00,10.6
101,01/03/10 01:22:00,01/02/10 17:22:00,10.0
102,01/03/10 01:53:00,01/02/10 17:53:00,9.4
103,01/03/10 02:26:00,01/02/10 18:26:00,8.0
104,01/03/10 02:34:00,01/02/10 18:34:00,8.0
105,01/03/10 02:53:00,01/02/10 18:53:00,7.8
106,01/03/10 03:53:00,01/02/10 19:53:00,7.2
107,01/03/10 04:53:00,01/02/10 20:53:00,6.7
108,01/03/10 05:53:00,01/02/10 21:53:00,7.2
109,01/03/10 06:53:00,01/02/10 22:53:00,6.7
110,01/03/10 07:53:00,01/02/10 23:53:00,5.6
111,01/03/10 07:59:00,01/02/10 23:59:00,#N/A
112,01/03/10 08:53:00,01/03/10 00:53:00,5.0
113,01/03/10 09:53:00,01/03/10 01:53:00,4.4
114,01/03/10 10:53:00,01/03/10 02:53:00,3.9
115,01/03/10 11:53:00,01/03/10 03:53:00,4.4
116,01/03/10 12:53:00,01/03/10 04:53:00,3.9
117,01/03/10 13:53:00,01/03/10 05:53:00,3.9
118,01/03/10 14:53:00,01/03/10 06:53:00,3.3
119,01/03/10 15:53:00,01/03/10 07:53:00,3.9
120,01/03/10 16:53:00,01/03/10 08:53:00,7.8
121,01/03/10 17:53:00,01/03/10 09:53:00,11.7
122,01/03/10 18:53:00,01/03/10 10:53:00,12.8
123,01/03/10 19:53:00,01/03/10 11:53:00,13.3
124,01/03/10 20:53:00,01/03/10 12:53:00,14.4
125,01/03/10 21:53:00,01/03/10 13:53:00,13.3
126,01/03/10 22:53:00,01/03/10 14:53:00,13.3
127,01/03/10 23:53:00,01/03/10 15:53:00,12.2
128,01/04/10 00:53:00,01/03/10 16:53:00,11.1
129,01/04/10 01:53:00,01/03/10 17:53:00,9.4
130,01/04/10 02:53:00,01/03/10 18:53:00,8.3
131,01/04/10 03:53:00,01/03/10 19:53:00,6.7
132,01/04/10 04:53:00,01/03/10 20:53:00,7.2
133,01/04/10 05:53:00,01/03/10 21:53:00,6.7
134,01/04/10 06:53:00,01/03/10 22:53:00,6.7
135,01/04/10 07:53:00,01/03/10 23:53:00,8.9
136,01/04/10 07:59:00,01/03/10 23:59:00,#N/A
137,01/04/10 08:53:00,01/04/10 00:53:00,8.9
138,01/04/10 09:53:00,01/04/10 01:53:00,8.3
139,01/04/10 10:25:00,01/04/10 02:25:00,8.0
140,01/04/10 10:53:00,01/04/10 02:53:00,7.2
141,01/04/10 11:53:00,01/04/10 03:53:00,10.0
142,01/04/10 12:53:00,01/04/10 04:53:00,10.6
143,01/04/10 13:53:00,01/04/10 05:53:00,8.9
144,01/04/10 14:53:00,01/04/10 06:53:00,8.9
145,01/04/10 15:53:00,01/04/10 07:53:00,8.9
146,01/04/10 16:53:00,01/04/10 08:53:00,11.1
147,01/04/10 17:53:00,01/04/10 09:53:00,13.3
148,01/04/10 18:53:00,01/04/10 10:53:00,13.9
149,01/04/10 19:53:00,01/04/10 11:53:00,13.3
150,01/04/10 20:53:00,01/04/10 12:53:00,13.3
151,01/04/10 21:53:00,01/04/10 13:53:00,14.4
152,01/04/10 22:53:00,01/04/10 14:53:00,13.3
153,01/04/10 23:53:00,01/04/10 15:53:00,13.9
154,01/05/10 00:53:00,01/04/10 16:53:00,12.2
155,01/05/10 01:53:00,01/04/10 17:53:00,12.2
156,01/05/10 02:53:00,01/04/10 18:53:00,11.7
157,01/05/10 03:53:00,01/04/10 19:53:00,11.7
158,01/05/10 04:53:00,01/04/10 20:53:00,11.7
159,01/05/10 05:53:00,01/04/10 21:53:00,11.7
160,01/05/10 06:53:00,01/04/10 22:53:00,11.7
161,01/05/10 07:53:00,01/04/10 23:53:00,11.7
162,01/05/10 07:59:00,01/04/10 23:59:00,#N/A
163,01/05/10 08:53:00,01/05/10 00:53:00,12.2
164,01/05/10 09:53:00,01/05/10 01:53:00,12.2
165,01/05/10 10:51:00,01/05/10 02:51:00,12.0
166,01/05/10 10:53:00,01/05/10 02:53:00,11.7
167,01/05/10 11:03:00,01/05/10 03:03:00,12.0
168,01/05/10 11:53:00,01/05/10 03:53:00,11.7
169,01/05/10 12:53:00,01/05/10 04:53:00,11.7
170,01/05/10 13:53:00,01/05/10 05:53:00,12.8
171,01/05/10 14:53:00,01/05/10 06:53:00,12.8
172,01/05/10 15:53:00,01/05/10 07:53:00,12.2
173,01/05/10 16:53:00,01/05/10 08:53:00,12.2
174,01/05/10 17:53:00,01/05/10 09:53:00,13.3
175,01/05/10 18:53:00,01/05/10 10:53:00,15.6
176,01/05/10 19:53:00,01/05/10 11:53:00,17.8
177,01/05/10 20:53:00,01/05/10 12:53:00,13.3
178,01/05/10 21:53:00,01/05/10 13:53:00,14.4
179,01/05/10 22:53:00,01/05/10 14:53:00,15.6
180,01/05/10 23:53:00,01/05/10 15:53:00,14.4
181,01/06/10 00:53:00,01/05/10 16:53:00,13.3
182,01/06/10 01:53:00,01/05/10 17:53:00,13.3
183,01/06/10 02:53:00,01/05/10 18:53:00,12.8
184,01/06/10 03:53:00,01/05/10 19:53:00,12.2
185,01/06/10 04:53:00,01/05/10 20:53:00,12.2
186,01/06/10 05:53:00,01/05/10 21:53:00,12.2
187,01/06/10 06:53:00,01/05/10 22:53:00,12.2
188,01/06/10 07:53:00,01/05/10 23:53:00,12.2
189,01/06/10 07:59:00,01/05/10 23:59:00,#N/A
190,01/06/10 08:19:00,01/06/10 00:19:00,12.0
191,01/06/10 08:53:00,01/06/10 00:53:00,11.7
192,01/06/10 09:19:00,01/06/10 01:19:00,12.0
193,01/06/10 09:51:00,01/06/10 01:51:00,12.0
194,01/06/10 09:53:00,01/06/10 01:53:00,12.2
195,01/06/10 10:53:00,01/06/10 02:53:00,12.2
