0230723805231792010010100004+34767-114617FM-15+0302KEED V0200501N005112200019N0160931N1+01401-00701102731ADDGF100991999999999999999999KA1999M+01561KA2999N+01111MA1102811999999MD1610011+9999REMMET102METAR KEED 312356Z AUTO 05010KT 10SM CLR 14/M07 A3036 RMK AO2 SLP273 T01441067 10156 20111 56001 TSNO;EQDQ01    993SCCGA1Q02    099SCCGD1
0195723805231792010010100567+34766-114620FM-15+0279KEED V0303605N004152200059N0160935N5+01285-00785102755ADDAA101000095GF100991999999999999999999MA1102845099505REMMET09612/31/09 16:56:01 METAR KEED 010056Z 36008KT 10SM CLR 13/M08 A3037 RMK AO2 SLP275 T01281078 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010101567+34766-114620FM-15+0279KEED V0303205N002652200059N0160935N5+01115-00565102835ADDAA101000095GF100991999999999999999999MA1102885099535REMMET09612/31/09 17:56:01 METAR KEED 010156Z 32005KT 10SM CLR 11/M06 A3038 RMK AO2 SLP283 T01111056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010102567+34766-114620FM-15+0279KEED V0303405N004652200059N0160935N5+01115-00565102855ADDAA101000095GF100991999999999999999999MA1102915099565MD1390099+9999REMMET10212/31/09 18:56:02 METAR KEED 010256Z 34009KT 10SM CLR 11/M06 A3039 RMK AO2 SLP285 T01111056 53009 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010103567+34766-114620FM-15+0279KEED V0303505N004152200059N0160935N5+01065-00565102855ADDAA101000095GF100991999999999999999999MA1102915099565REMMET09612/31/09 19:56:02 METAR KEED 010356Z 35008KT 10SM CLR 11/M06 A3039 RMK AO2 SLP285 T01061056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010104567+34766-114620FM-15+0279KEED V0303405N004152200059N0160935N5+01005-00565102875ADDAA101000095GF100991999999999999999999MA1102955099595REMMET09612/31/09 20:56:02 METAR KEED 010456Z 34008KT 10SM CLR 10/M06 A3040 RMK AO2 SLP287 T01001056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010105567+34766-114620FM-15+0279KEED V0303305N003152200059N0160935N5+00945-00565102845ADDAA101000095GF100991999999999999999999KA1999M+01441KA2999N+00891MA1102915099565MD1090029+9999REMMET11412/31/09 21:56:02 METAR KEED 010556Z 33006KT 10SM CLR 09/M06 A3039 RMK AO2 SLP284 T00941056 10144 20089 50002 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010106567+34766-114620FM-15+0279KEED V0303505N002152200059N0160935N5+00945-00615102845ADDAA101000095GF100991999999999999999999MA1102955099595REMMET09612/31/09 22:56:02 METAR KEED 010656Z 35004KT 10SM CLR 09/M06 A3040 RMK AO2 SLP284 T00941061 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0205723805231792010010107567+34766-114620FM-15+0279KEED V0303505N003152200059N0160935N5+00895-00615102855ADDAA101000095GF100991999999999999999999MA1102955099595REMMET10612/31/09 23:56:02 METAR KEED 010756Z 35006KT 10SM CLR 09/M06 A3040 RMK AO2 SLP285 T00891061 401560056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0989723805231792010010107596+34766-114620SOD  +0279KEED V030999999999999999999999999999+99999+99999999999ADDAA124000095KA1240M+01565KA2240N+00565KG1024W+0044D4KG2024D-0039D4MF1099534102784MG1099514102374OE11240107302010075OE22240093901009585OE33240043499999995RH1024X060D4RH2024N021D4RH3024M037D4REMSOD75424 HR PRECIPITATION (IN):0.00  24 HR MAX TEMP (F):60 24 HR MAX TEMP TIME (LST):1528 24 HR MIN TEMP (F):42 24 HR MIN TEMP TIME (LST):0701 AVERAGE STATION PRESSURE:29.385 MINIMUM SEA LEVEL PRESSURE:30.23 TIME OF OCCURRENCE:0015 PEAK WIND SPEED (MPH):24  PEAK WIND DIR (DEG):20  PEAK WIND TIME (LST):1007  FASTEST 2MIN SPEED (MPH):21 FASTEST 2MIN DIR (DEG):10  FASTEST 2MIN TIME (LST):0958 AVERAGE WIND SPEED (MPH):9.7  24 HR AVG TEMP (F):51 DEPART FROM NORMAL: -2  HEATING DEGREE DAYS:14  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):60  LATEST NIGHT MIN TEMP(1900-0800 LST):42 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00EQDR01     N7GJS072R02     N7GKS075
1257723805231792010010107596+34766-114620SOM  +0279KEED V030999999999999999999999999999+99999+99999999999ADDAB1001939AAD10017890707999999995AE1025015015005AH1005001890720065AH2010002390720095AH3015002390720095AH4020002890718375AH5030004190718395AH6045005390718435AI1060006190718585AI2080006390719095AI3100007490719335AI4120008990720075AI5150010290720095AI6180010990720095KB1744N+0528UKB2744M+15785KB3744A+10565KC1N9+00050605995KC2M9+02161899995KD1744H04265KD2744C00005KE1005005005005MH109844U10169UMK110298310956U09925072056UREMSOM809PCP MTOT:0.76 DEPNRM:+0.4 PCP GT 24HRS:0.70 DATE(S):7 DAYS W/PCP >=.01:2  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.07  07/2006 MIN:10 0.09  07/2009 MIN:15 0.09  07/2009 MIN:20 0.11  07/1837 MIN:30 0.16  07/1839 MIN:45 0.21  07/1843 MIN:60 0.24  07/1858 MIN:80 0.25  07/1909 MIN:100 0.29  07/1933 MIN:120 0.35  07/2007 MIN:150 0.40  07/2009 MIN:180 0.43  07/2009 AVG DLY MIN:41.6  AVG DLY MAX:60.4  AVG MLY TMP:51.0  DEP NORM:-3.0  MIN TMP:33 DATE(S):06 05 MAX TMP:71  DATE(S):18 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.075 LWST SLP:29.29 DATE/TIME:072035 HGST SLP:30.42 DATE/TIME:310952 HDD MTH TOT:426 DEP NORM:+81 SEASON(JUL 1-JUN 30):426 DEP NORM:-79 CDD MTH TOT:0 DEP NORM:-5 SEASON(JAN 1-DEC 31):0 DEP NORM:-4545EQDR01  0.767ABP070
0247723805231792010010108567+34766-114620FM-15+0279KEED V0303205N002652200059N0160935N5+00785-00565102835ADDAA101000095GF100991999999999999999999MA1102915099565MD1890009+9999REMMET10201/01/10 00:56:02 METAR KEED 010856Z 32005KT 10SM CLR 08/M06 A3039 RMK AO2 SLP283 T00781056 58000 TSNOEQDQ01+000082APCTENQ02+000002APC3  Q03    099SCCGD1P01    003SCCGA1
0195723805231792010010109567+34766-114620FM-15+0279KEED V0303205N003652200059N0160935N5+00835-00615102805ADDAA101000095GF100991999999999999999999MA1102915099565REMMET09601/01/10 01:56:02 METAR KEED 010956Z 32007KT 10SM CLR 08/M06 A3039 RMK AO2 SLP280 T00831061 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010110567+34766-114620FM-15+0279KEED V0302805N003152200059N0160935N5+00725-00615102775ADDAA101000095GF100991999999999999999999MA1102845099505REMMET09601/01/10 02:56:02 METAR KEED 011056Z 28006KT 10SM CLR 07/M06 A3037 RMK AO2 SLP277 T00721061 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010111567+34766-114620FM-15+0279KEED V0303205N003152200059N0160935N5+00785-00615102745ADDAA101000095GF100991999999999999999999KA1999M+01001KA2999N+00561MA1102815099465MD1890099+9999REMMET11401/01/10 03:56:02 METAR KEED 011156Z 32006KT 10SM CLR 08/M06 A3036 RMK AO2 SLP274 T00781061 10100 20056 58009 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010112567+34766-114620FM-15+0279KEED V0303005N002152200059N0160935N5+00615-00565102755ADDAA101000095GF100991999999999999999999MA1102815099465REMMET09601/01/10 04:56:02 METAR KEED 011256Z 30004KT 10SM CLR 06/M06 A3036 RMK AO2 SLP275 T00611056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010113567+34766-114620FM-15+0279KEED V0303405N001552200059N0160935N5+00725-00565102715ADDAA101000095GF100991999999999999999999MA1102785099435REMMET09601/01/10 05:56:02 METAR KEED 011356Z 34003KT 10SM CLR 07/M06 A3035 RMK AO2 SLP271 T00721056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010114567+34766-114620FM-15+0279KEED V0303405N003652200059N0160935N5+00675-00565102735ADDAA101000095GF100991999999999999999999MA1102785099435MD1590049+9999REMMET10201/01/10 06:56:02 METAR KEED 011456Z 34007KT 10SM CLR 07/M06 A3035 RMK AO2 SLP273 T00671056 55004 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
